account_no,customer_name,dob,address,tax_id,txn_date,txn_id,txn_type,mode,amount,counterparty,transaction_memo
84286033961,John Taylor,1965-05-18,"841 MG Road, Bangalore, KA, 560001",PAN4969D,2023-10-01,627BC1A6F0A5,DEBIT,POS,990.22,Amazon,Shopping
26046654712,Vikram Mehta,1979-01-12,"939 High St, Bangalore, KA, 560001",PAN7217D,2023-10-01,61B04CF19069,CREDIT,NEFT,10356.79,Employer / Salary,Salary
74212078458,Vikram Patel,1980-01-20,"752 Main St, London, UK, EC1A 1BB",PAN6821D,2023-10-01,02C366C7829D,CREDIT,NEFT,20893.92,Employer / Salary,Salary
22455298608,Neha Taylor,1975-02-01,"287 High St, Delhi, DL, 110001",PAN2068C,2023-10-01,D7C1399D8100,DEBIT,POS,11616.38,Amazon,Shopping
17292873443,Rohan Sharma,1981-02-25,"153 High St, New York, NY, 10001",PAN6178D,2023-10-01,3591F76B85E3,DEBIT,POS,437.04,Amazon,Shopping
78820846537,David Johnson,1967-07-10,"64 Main St, Delhi, DL, 110001",PAN2024B,2023-10-01,6A1552E60709,CREDIT,IMPS,48000.0,UNKNOWN P2P,P2P Transfer
81472727188,David Kumar,1975-10-26,"646 High St, Delhi, DL, 110001",PAN9295B,2023-10-01,12204760E00B,DEBIT,POS,9944.05,Amazon,Shopping
76810697063,Pooja Singh,1993-03-16,"593 MG Road, Mumbai, MH, 400001",PAN1734E,2023-10-01,77BC77F2CB67,CREDIT,NEFT,27251.37,Employer / Salary,Salary
51618949921,Michael Smith,1981-09-14,"989 MG Road, New York, NY, 10001",PAN4299A,2023-10-01,25569E0E092A,CREDIT,NEFT,28359.94,Employer / Salary,Salary
72943537134,Rahul Patel,1998-08-07,"330 MG Road, Delhi, DL, 110001",PAN6497D,2023-10-01,A56CC65A6E54,DEBIT,POS,2470.66,Amazon,Shopping
45334322348,Karan Verma,1971-09-10,"984 High St, London, UK, EC1A 1BB",PAN7344B,2023-10-02,D823AFBFA04E,CREDIT,NEFT,10278.97,Employer / Salary,Salary
37664188145,David Smith,1993-10-16,"167 Park Ave, New York, NY, 10001",PAN9192E,2023-10-02,ACBEA4C96F2E,DEBIT,POS,7809.6,Amazon,Shopping
66072419808,Amit Taylor,1958-06-08,"653 Park Ave, Bangalore, KA, 560001",PAN1176A,2023-10-02,F2305E67961F,CREDIT,NEFT,25764.66,Employer / Salary,Salary
73458045960,Karan Gupta,1985-05-24,"996 High St, Mumbai, MH, 400001",PAN4247A,2023-10-02,171735AD5636,DEBIT,POS,3474.81,Amazon,Shopping
52267998461,John Smith,1966-01-16,"456 MG Road, New York, NY, 10001",PAN2705E,2023-10-02,910AB3B72E8C,CREDIT,NEFT,26091.35,Employer / Salary,Salary
59506668561,Rohan Johnson,1962-02-26,"342 MG Road, Mumbai, MH, 400001",PAN6422D,2023-10-02,8A39B751A2BF,CREDIT,NEFT,26218.58,Employer / Salary,Salary
38820936246,Sneha Brown,1964-01-01,"280 Park Ave, Delhi, DL, 110001",PAN3274C,2023-10-02,F1F51C82C65A,CREDIT,CASH,49500.0,SELF,Branch Cash Deposit
65530184501,Pooja Doe,1991-11-18,"104 Main St, New York, NY, 10001",PAN5117B,2023-10-02,365A1E4D86E4,DEBIT,POS,13117.2,Amazon,Shopping
21215636661,Priya Gupta,1971-12-11,"507 Park Ave, Mumbai, MH, 400001",PAN7805D,2023-10-02,EFF38D86093A,CREDIT,NEFT,17077.32,Employer / Salary,Salary
69774016847,Sneha Doe,1978-09-25,"317 Park Ave, Bangalore, KA, 560001",PAN8031B,2023-10-02,F12442A5FF17,DEBIT,POS,4447.32,Amazon,Shopping
12216942157,Sneha Smith,1998-01-26,"535 Main St, Delhi, DL, 110001",PAN3127A,2023-10-02,A0F0C7C55C73,CREDIT,NEFT,34365.25,Employer / Salary,Salary
69774016847,Sneha Doe,1978-09-25,"317 Park Ave, Bangalore, KA, 560001",PAN8031B,2023-10-02,622F19C18A48,CREDIT,NEFT,5136.22,Employer / Salary,Salary
16978135670,Sarah Johnson,1970-09-20,"81 Park Ave, New York, NY, 10001",PAN8594C,2023-10-02,6DBAF65D1C99,CREDIT,NEFT,22662.99,Employer / Salary,Salary
38657767535,David Kumar,1986-10-10,"253 MG Road, Delhi, DL, 110001",PAN2032A,2023-10-02,E971C00F73FC,DEBIT,POS,6919.48,Amazon,Shopping
72764946459,John Mehta,1962-07-09,"538 High St, Mumbai, MH, 400001",PAN2928E,2023-10-02,FBD318127778,DEBIT,POS,6038.38,Amazon,Shopping
99129617972,Karan Taylor,1979-01-01,"237 Park Ave, Bangalore, KA, 560001",PAN7496A,2023-10-02,3B24283303C9,CREDIT,NEFT,9374.31,Employer / Salary,Salary
12216942157,Sneha Smith,1998-01-26,"535 Main St, Delhi, DL, 110001",PAN3127A,2023-10-02,4D71F45C7BD0,DEBIT,POS,14779.06,Amazon,Shopping
88372399312,Anjali Brown,1971-11-28,"850 High St, Bangalore, KA, 560001",PAN4990D,2023-10-02,2002540DE0A1,CREDIT,NEFT,15518.47,Employer / Salary,Salary
23750367692,John Mehta,1962-11-28,"409 Main St, Bangalore, KA, 560001",PAN3892C,2023-10-02,F800EB66D632,DEBIT,POS,6108.68,Amazon,Shopping
23077763372,Sneha Johnson,1967-04-10,"876 MG Road, Delhi, DL, 110001",PAN6792E,2023-10-02,955765873396,CREDIT,NEFT,23269.65,Employer / Salary,Salary
47134623182,Karan Patel,1950-03-16,"721 MG Road, Bangalore, KA, 560001",PAN4234D,2023-10-02,D4D116A7EDAD,CREDIT,NEFT,18806.85,Employer / Salary,Salary
90572286434,Rahul Jain,1994-01-11,"563 High St, Bangalore, KA, 560001",PAN8506B,2023-10-02,80BC13846BC9,DEBIT,POS,1839.24,Amazon,Shopping
84286033961,John Taylor,1965-05-18,"841 MG Road, Bangalore, KA, 560001",PAN4969D,2023-10-02,0B27B20A103A,DEBIT,POS,11229.35,Amazon,Shopping
88134083024,Priya Smith,1994-06-01,"474 High St, London, UK, EC1A 1BB",PAN3539C,2023-10-02,C5AFE3BC101B,DEBIT,POS,193.83,Amazon,Shopping
65923802905,Karan Kumar,1977-01-13,"52 Main St, Mumbai, MH, 400001",PAN7114B,2023-10-02,D73F6F367ABE,DEBIT,POS,13482.35,Amazon,Shopping
49843457405,Rohan Sharma,1974-04-27,"231 Park Ave, Bangalore, KA, 560001",PAN6734B,2023-10-03,3134B7F7C97E,CREDIT,NEFT,10852.83,Employer / Salary,Salary
60893495800,Neha Verma,1971-09-05,"373 Park Ave, Mumbai, MH, 400001",PAN2472E,2023-10-03,31C82FEF31E5,CREDIT,NEFT,26529.92,Employer / Salary,Salary
72764946459,John Mehta,1962-07-09,"538 High St, Mumbai, MH, 400001",PAN2928E,2023-10-03,F01BF1A42A0F,CREDIT,NEFT,6212.0,Employer / Salary,Salary
88134083024,Priya Smith,1994-06-01,"474 High St, London, UK, EC1A 1BB",PAN3539C,2023-10-03,BA8F3EC742C4,DEBIT,POS,7088.44,Amazon,Shopping
84149855424,Sarah Doe,1953-08-27,"515 Park Ave, London, UK, EC1A 1BB",PAN7408B,2023-10-03,B271E9C80260,DEBIT,POS,2738.66,Amazon,Shopping
81172125330,Rohan Verma,1958-09-05,"425 Park Ave, Bangalore, KA, 560001",PAN8394D,2023-10-03,E22DC0C1E00A,DEBIT,POS,8539.78,Amazon,Shopping
59506668561,Rohan Johnson,1962-02-26,"342 MG Road, Mumbai, MH, 400001",PAN6422D,2023-10-03,B45927D9FE38,DEBIT,POS,7542.78,Amazon,Shopping
59161678059,John Sharma,1960-04-23,"49 High St, Delhi, DL, 110001",PAN2713C,2023-10-03,953022D3D19A,DEBIT,POS,7207.99,Amazon,Shopping
51408605578,David Johnson,1970-01-05,"579 Park Ave, Bangalore, KA, 560001",PAN4083E,2023-10-03,A7D39B0B35C4,CREDIT,NEFT,5326.14,Employer / Salary,Salary
74511864590,Emma Johnson,1950-08-20,"847 High St, Delhi, DL, 110001",PAN3558A,2023-10-03,C008ECA10647,CREDIT,NEFT,19332.57,Employer / Salary,Salary
74511864590,Emma Johnson,1950-08-20,"847 High St, Delhi, DL, 110001",PAN3558A,2023-10-03,9CAD2D5742E2,CREDIT,NEFT,19382.21,Employer / Salary,Salary
74594585356,Michael Doe,1984-12-22,"639 Main St, Mumbai, MH, 400001",PAN1830C,2023-10-03,B8586E0A2FD8,CREDIT,NEFT,15356.43,Employer / Salary,Salary
27074076211,Vikram Kumar,1973-04-11,"992 Park Ave, Delhi, DL, 110001",PAN5679A,2023-10-03,4688FB3F26A2,DEBIT,POS,12408.58,Amazon,Shopping
78820846537,David Johnson,1967-07-10,"64 Main St, Delhi, DL, 110001",PAN2024B,2023-10-03,51EBE06D9566,CREDIT,IMPS,48000.0,UNKNOWN P2P,P2P Transfer
87073586854,Vikram Smith,1969-06-24,"229 MG Road, Bangalore, KA, 560001",PAN8845D,2023-10-03,9AD0BE37CCBD,DEBIT,POS,955.84,Amazon,Shopping
59993877563,Anjali Taylor,1961-10-20,"798 Main St, Delhi, DL, 110001",PAN9661B,2023-10-03,90F341AB5F29,CREDIT,NEFT,29187.01,Employer / Salary,Salary
89297439330,David Mehta,1965-09-23,"620 Main St, Mumbai, MH, 400001",PAN7508B,2023-10-03,C2625E1CC888,DEBIT,POS,7981.08,Amazon,Shopping
38820936246,Sneha Brown,1964-01-01,"280 Park Ave, Delhi, DL, 110001",PAN3274C,2023-10-03,C4A4FE36EADA,CREDIT,CASH,49500.0,SELF,Branch Cash Deposit
88134083024,Priya Smith,1994-06-01,"474 High St, London, UK, EC1A 1BB",PAN3539C,2023-10-03,DF64A18844E9,DEBIT,POS,8340.27,Amazon,Shopping
49843457405,Rohan Sharma,1974-04-27,"231 Park Ave, Bangalore, KA, 560001",PAN6734B,2023-10-03,F08A1177586E,CREDIT,NEFT,5222.97,Employer / Salary,Salary
84547616074,John Mehta,1976-11-20,"149 High St, New York, NY, 10001",PAN1582D,2023-10-03,205D7ABA43FF,CREDIT,NEFT,13026.33,Employer / Salary,Salary
14325166398,Priya Smith,1951-05-07,"341 High St, Bangalore, KA, 560001",PAN1416D,2023-10-03,BBF622A89CE0,DEBIT,POS,10753.79,Amazon,Shopping
10915709191,Sneha Sharma,1984-08-25,"151 MG Road, New York, NY, 10001",PAN9120C,2023-10-03,A92D28D2083E,DEBIT,POS,2037.5,Amazon,Shopping
23750367692,John Mehta,1962-11-28,"409 Main St, Bangalore, KA, 560001",PAN3892C,2023-10-04,FB1D5AA4A81B,CREDIT,NEFT,26703.34,Employer / Salary,Salary
97733443388,David Brown,1972-10-24,"231 Main St, Mumbai, MH, 400001",PAN2683A,2023-10-04,ED7D23760A25,CREDIT,NEFT,11532.15,Employer / Salary,Salary
51928945157,Rohan Taylor,1995-02-16,"162 Park Ave, Mumbai, MH, 400001",PAN8925A,2023-10-04,5E29527F6C6C,DEBIT,POS,14976.77,Amazon,Shopping
67611548402,David Gupta,1994-01-26,"700 MG Road, London, UK, EC1A 1BB",PAN5908B,2023-10-04,70E0FE6FF0AA,CREDIT,NEFT,15935.97,Employer / Salary,Salary
68536258506,Rahul Kumar,1960-09-25,"917 High St, New York, NY, 10001",PAN5061C,2023-10-04,65FB1809B90C,DEBIT,POS,12357.08,Amazon,Shopping
38657767535,David Kumar,1986-10-10,"253 MG Road, Delhi, DL, 110001",PAN2032A,2023-10-04,F1870015F38A,CREDIT,NEFT,25461.73,Employer / Salary,Salary
88134083024,Priya Smith,1994-06-01,"474 High St, London, UK, EC1A 1BB",PAN3539C,2023-10-04,68836A041F2E,CREDIT,NEFT,2999.03,Employer / Salary,Salary
27074076211,Vikram Kumar,1973-04-11,"992 Park Ave, Delhi, DL, 110001",PAN5679A,2023-10-04,1A8DF98CB523,CREDIT,NEFT,16186.91,Employer / Salary,Salary
17292873443,Rohan Sharma,1981-02-25,"153 High St, New York, NY, 10001",PAN6178D,2023-10-04,049848A75DC4,CREDIT,NEFT,31184.74,Employer / Salary,Salary
12598902645,Michael Verma,1979-02-05,"30 MG Road, Bangalore, KA, 560001",PAN7630A,2023-10-04,A9C230F1979F,CREDIT,NEFT,13993.32,Employer / Salary,Salary
38820936246,Sneha Brown,1964-01-01,"280 Park Ave, Delhi, DL, 110001",PAN3274C,2023-10-04,3D6600E66929,CREDIT,CASH,49500.0,SELF,Branch Cash Deposit
46103679233,Pooja Jain,1969-04-22,"916 Park Ave, London, UK, EC1A 1BB",PAN8087D,2023-10-04,9D0AF04867DB,CREDIT,NEFT,23231.12,Employer / Salary,Salary
68536258506,Rahul Kumar,1960-09-25,"917 High St, New York, NY, 10001",PAN5061C,2023-10-04,12876040C02A,DEBIT,POS,9480.66,Amazon,Shopping
84286033961,John Taylor,1965-05-18,"841 MG Road, Bangalore, KA, 560001",PAN4969D,2023-10-04,39F197DCB0F6,DEBIT,POS,8928.06,Amazon,Shopping
78560339461,Neha Mehta,1961-12-16,"393 MG Road, Delhi, DL, 110001",PAN2009A,2023-10-04,EFFC9807A18F,CREDIT,NEFT,30103.11,Employer / Salary,Salary
65530184501,Pooja Doe,1991-11-18,"104 Main St, New York, NY, 10001",PAN5117B,2023-10-04,757986BB2848,CREDIT,NEFT,29041.24,Employer / Salary,Salary
73458045960,Karan Gupta,1985-05-24,"996 High St, Mumbai, MH, 400001",PAN4247A,2023-10-04,7E93E143DDBC,CREDIT,NEFT,11561.55,Employer / Salary,Salary
81329539066,David Doe,1967-03-26,"445 Park Ave, Bangalore, KA, 560001",PAN5000A,2023-10-04,1B34C2D6FCD4,CREDIT,NEFT,5302.31,Employer / Salary,Salary
85792174432,Pooja Johnson,1984-10-21,"146 Main St, New York, NY, 10001",PAN4632D,2023-10-04,65B57430397D,DEBIT,POS,14694.59,Amazon,Shopping
74511864590,Emma Johnson,1950-08-20,"847 High St, Delhi, DL, 110001",PAN3558A,2023-10-04,1FAEC8DCD6C5,CREDIT,NEFT,6196.27,Employer / Salary,Salary
30143580171,Neha Gupta,1957-09-13,"759 Main St, Delhi, DL, 110001",PAN6997E,2023-10-04,FEB6E758C4BC,CREDIT,NEFT,11886.32,Employer / Salary,Salary
69173296540,Rahul Patel,1954-07-01,"438 MG Road, Mumbai, MH, 400001",PAN8917C,2023-10-04,F4389A7919F4,CREDIT,NEFT,30170.53,Employer / Salary,Salary
16804367297,Pooja Doe,1998-12-04,"889 High St, New York, NY, 10001",PAN2260E,2023-10-04,3A09CEC02B20,CREDIT,NEFT,31382.97,Employer / Salary,Salary
18634233392,John Johnson,1977-01-18,"223 Main St, London, UK, EC1A 1BB",PAN7462A,2023-10-04,2DAE12522789,CREDIT,NEFT,20319.3,Employer / Salary,Salary
56847251402,Sneha Verma,1979-11-23,"441 Park Ave, Mumbai, MH, 400001",PAN1501B,2023-10-04,4FBDA772871C,CREDIT,NEFT,29652.98,Employer / Salary,Salary
16804367297,Pooja Doe,1998-12-04,"889 High St, New York, NY, 10001",PAN2260E,2023-10-04,7C84E3757382,CREDIT,NEFT,24272.18,Employer / Salary,Salary
21858846381,Pooja Taylor,1967-02-13,"903 High St, New York, NY, 10001",PAN9349A,2023-10-05,08CA619E1EB8,DEBIT,POS,3210.92,Amazon,Shopping
67611548402,David Gupta,1994-01-26,"700 MG Road, London, UK, EC1A 1BB",PAN5908B,2023-10-05,0C3D79EF60EC,DEBIT,POS,7095.19,Amazon,Shopping
37120342693,Priya Singh,1978-04-11,"132 MG Road, London, UK, EC1A 1BB",PAN9121D,2023-10-05,6B852364F6B7,DEBIT,POS,338.84,Amazon,Shopping
68027852646,Rohan Mehta,1963-05-21,"416 Park Ave, Mumbai, MH, 400001",PAN7912D,2023-10-05,DEB0DC616FBF,DEBIT,POS,4842.25,Amazon,Shopping
86418769212,Karan Smith,1983-04-13,"841 MG Road, New York, NY, 10001",PAN7414E,2023-10-05,29B7CC12E051,CREDIT,NEFT,1711.07,Employer / Salary,Salary
51928945157,Rohan Taylor,1995-02-16,"162 Park Ave, Mumbai, MH, 400001",PAN8925A,2023-10-05,6B2275EFC341,DEBIT,POS,11535.94,Amazon,Shopping
45712503172,Emma Smith,1959-06-28,"846 Park Ave, Mumbai, MH, 400001",PAN8778D,2023-10-05,E4E6B235E4D5,DEBIT,POS,10402.05,Amazon,Shopping
45334322348,Karan Verma,1971-09-10,"984 High St, London, UK, EC1A 1BB",PAN7344B,2023-10-05,ACD6549C689D,CREDIT,NEFT,32847.04,Employer / Salary,Salary
76810697063,Pooja Singh,1993-03-16,"593 MG Road, Mumbai, MH, 400001",PAN1734E,2023-10-05,1C2BFED860DE,DEBIT,POS,7084.25,Amazon,Shopping
16978135670,Sarah Johnson,1970-09-20,"81 Park Ave, New York, NY, 10001",PAN8594C,2023-10-05,56DFB921963D,DEBIT,POS,1680.95,Amazon,Shopping
78820846537,David Johnson,1967-07-10,"64 Main St, Delhi, DL, 110001",PAN2024B,2023-10-05,9431CA12A1AF,CREDIT,IMPS,48000.0,UNKNOWN P2P,P2P Transfer
56847251402,Sneha Verma,1979-11-23,"441 Park Ave, Mumbai, MH, 400001",PAN1501B,2023-10-05,54EA925BA17B,DEBIT,POS,6631.95,Amazon,Shopping
13657793309,Rohan Smith,1992-04-09,"585 MG Road, Mumbai, MH, 400001",PAN7405A,2023-10-05,FFE494774137,DEBIT,POS,4946.47,Amazon,Shopping
80583668037,Pooja Smith,1964-03-10,"219 High St, Bangalore, KA, 560001",PAN3422E,2023-10-05,54028A2CE1C3,CREDIT,NEFT,2070.72,Employer / Salary,Salary
97733443388,David Brown,1972-10-24,"231 Main St, Mumbai, MH, 400001",PAN2683A,2023-10-05,AB009FDF0382,CREDIT,NEFT,13087.13,Employer / Salary,Salary
80330286380,David Jain,1991-03-23,"848 Main St, Delhi, DL, 110001",PAN5683C,2023-10-05,6CDE733835B5,CREDIT,NEFT,12978.62,Employer / Salary,Salary
45334322348,Karan Verma,1971-09-10,"984 High St, London, UK, EC1A 1BB",PAN7344B,2023-10-05,BBD41EA2A0A8,DEBIT,POS,11096.75,Amazon,Shopping
68027852646,Rohan Mehta,1963-05-21,"416 Park Ave, Mumbai, MH, 400001",PAN7912D,2023-10-05,69953C7D2200,CREDIT,NEFT,12997.26,Employer / Salary,Salary
70624341550,Rohan Verma,1969-05-17,"839 Park Ave, Delhi, DL, 110001",PAN3034D,2023-10-05,F3ACA6CECA38,DEBIT,POS,4089.44,Amazon,Shopping
76410032652,Anjali Kumar,1998-08-07,"548 Main St, Mumbai, MH, 400001",PAN3436D,2023-10-05,720FA935A975,CREDIT,NEFT,16902.14,Employer / Salary,Salary
50234132436,David Singh,1984-07-19,"561 MG Road, New York, NY, 10001",PAN2179A,2023-10-05,BEED43CDF174,CREDIT,NEFT,5427.48,Employer / Salary,Salary
84547616074,John Mehta,1976-11-20,"149 High St, New York, NY, 10001",PAN1582D,2023-10-05,7EC6D844B946,DEBIT,POS,12687.55,Amazon,Shopping
97733443388,David Brown,1972-10-24,"231 Main St, Mumbai, MH, 400001",PAN2683A,2023-10-05,C028C244BE54,DEBIT,POS,14875.62,Amazon,Shopping
54281383264,David Gupta,1993-09-08,"364 Park Ave, New York, NY, 10001",PAN5423C,2023-10-05,AA3C810D20F7,CREDIT,NEFT,8974.69,Employer / Salary,Salary
52267998461,John Smith,1966-01-16,"456 MG Road, New York, NY, 10001",PAN2705E,2023-10-05,3D636D29EE7B,CREDIT,NEFT,6061.46,Employer / Salary,Salary
62586375682,Anjali Brown,1973-06-23,"270 MG Road, Delhi, DL, 110001",PAN1838A,2023-10-05,BC88C6C4293C,DEBIT,POS,7191.88,Amazon,Shopping
65530184501,Pooja Doe,1991-11-18,"104 Main St, New York, NY, 10001",PAN5117B,2023-10-06,FD2F27F75435,CREDIT,NEFT,24796.4,Employer / Salary,Salary
12598902645,Michael Verma,1979-02-05,"30 MG Road, Bangalore, KA, 560001",PAN7630A,2023-10-06,5445B6071A8C,DEBIT,POS,4052.28,Amazon,Shopping
15423350995,Sneha Sharma,1975-03-13,"788 High St, Delhi, DL, 110001",PAN4344B,2023-10-06,23AFA1B3B1FD,DEBIT,POS,12545.64,Amazon,Shopping
46103679233,Pooja Jain,1969-04-22,"916 Park Ave, London, UK, EC1A 1BB",PAN8087D,2023-10-06,9E949F7810A9,CREDIT,NEFT,16325.61,Employer / Salary,Salary
26899345501,Sarah Verma,1975-06-16,"691 High St, London, UK, EC1A 1BB",PAN5595E,2023-10-06,9B7CA47FA0BA,CREDIT,NEFT,25669.72,Employer / Salary,Salary
52920365658,Karan Brown,1975-12-23,"844 Park Ave, Bangalore, KA, 560001",PAN2694A,2023-10-06,2B211D170C32,DEBIT,POS,10227.81,Amazon,Shopping
75000099430,Pooja Gupta,1961-07-24,"467 MG Road, New York, NY, 10001",PAN2512C,2023-10-06,FBAE0D38BAFD,CREDIT,NEFT,26797.13,Employer / Salary,Salary
51928945157,Rohan Taylor,1995-02-16,"162 Park Ave, Mumbai, MH, 400001",PAN8925A,2023-10-06,ACBF6F22A0A9,DEBIT,POS,10777.26,Amazon,Shopping
69774016847,Sneha Doe,1978-09-25,"317 Park Ave, Bangalore, KA, 560001",PAN8031B,2023-10-06,5BF7DB43C6FB,CREDIT,NEFT,6789.13,Employer / Salary,Salary
53686720781,Michael Verma,1957-09-28,"606 Main St, Delhi, DL, 110001",PAN7271E,2023-10-06,9A8B624CE202,CREDIT,NEFT,33659.54,Employer / Salary,Salary
33233889749,Sarah Taylor,1960-09-15,"294 Park Ave, Delhi, DL, 110001",PAN6247D,2023-10-06,7A820738279B,DEBIT,POS,2532.76,Amazon,Shopping
16978135670,Sarah Johnson,1970-09-20,"81 Park Ave, New York, NY, 10001",PAN8594C,2023-10-06,BA0BD551A245,DEBIT,POS,9159.41,Amazon,Shopping
70624341550,Rohan Verma,1969-05-17,"839 Park Ave, Delhi, DL, 110001",PAN3034D,2023-10-06,277E42264295,CREDIT,NEFT,6878.61,Employer / Salary,Salary
55427318669,John Jain,1966-05-24,"373 MG Road, London, UK, EC1A 1BB",PAN4668A,2023-10-06,A858164B28B2,CREDIT,NEFT,11064.04,Employer / Salary,Salary
51408605578,David Johnson,1970-01-05,"579 Park Ave, Bangalore, KA, 560001",PAN4083E,2023-10-06,C1B4C5EC2E53,CREDIT,NEFT,29148.4,Employer / Salary,Salary
49843457405,Rohan Sharma,1974-04-27,"231 Park Ave, Bangalore, KA, 560001",PAN6734B,2023-10-06,B61D6F451F9E,CREDIT,NEFT,26255.09,Employer / Salary,Salary
72943537134,Rahul Patel,1998-08-07,"330 MG Road, Delhi, DL, 110001",PAN6497D,2023-10-06,D75793D6C5CC,CREDIT,NEFT,20384.71,Employer / Salary,Salary
89208281088,Vikram Patel,1999-11-05,"13 High St, Mumbai, MH, 400001",PAN1478B,2023-10-06,1CDC99EE3F03,CREDIT,NEFT,7153.85,Employer / Salary,Salary
16978135670,Sarah Johnson,1970-09-20,"81 Park Ave, New York, NY, 10001",PAN8594C,2023-10-07,BB1A7AF0CDC6,DEBIT,POS,51.68,Amazon,Shopping
27074076211,Vikram Kumar,1973-04-11,"992 Park Ave, Delhi, DL, 110001",PAN5679A,2023-10-07,496F78EDBE86,DEBIT,POS,8317.9,Amazon,Shopping
27074076211,Vikram Kumar,1973-04-11,"992 Park Ave, Delhi, DL, 110001",PAN5679A,2023-10-07,9600E07170E3,DEBIT,POS,13245.74,Amazon,Shopping
99129617972,Karan Taylor,1979-01-01,"237 Park Ave, Bangalore, KA, 560001",PAN7496A,2023-10-07,FC842EFA76D1,CREDIT,NEFT,10102.53,Employer / Salary,Salary
88134083024,Priya Smith,1994-06-01,"474 High St, London, UK, EC1A 1BB",PAN3539C,2023-10-07,485C3033C0F7,DEBIT,POS,6756.45,Amazon,Shopping
68027852646,Rohan Mehta,1963-05-21,"416 Park Ave, Mumbai, MH, 400001",PAN7912D,2023-10-07,52B4B8369739,DEBIT,POS,4159.23,Amazon,Shopping
21215636661,Priya Gupta,1971-12-11,"507 Park Ave, Mumbai, MH, 400001",PAN7805D,2023-10-07,F6110F0DD69A,DEBIT,POS,6356.7,Amazon,Shopping
37120342693,Priya Singh,1978-04-11,"132 MG Road, London, UK, EC1A 1BB",PAN9121D,2023-10-07,BE38F56F95DC,CREDIT,NEFT,28920.32,Employer / Salary,Salary
80330286380,David Jain,1991-03-23,"848 Main St, Delhi, DL, 110001",PAN5683C,2023-10-07,89C09E0E6CA1,DEBIT,POS,8175.27,Amazon,Shopping
26899345501,Sarah Verma,1975-06-16,"691 High St, London, UK, EC1A 1BB",PAN5595E,2023-10-07,45CA627162D8,DEBIT,POS,11920.22,Amazon,Shopping
74594585356,Michael Doe,1984-12-22,"639 Main St, Mumbai, MH, 400001",PAN1830C,2023-10-07,3DBC02DF260B,CREDIT,NEFT,13654.65,Employer / Salary,Salary
23077763372,Sneha Johnson,1967-04-10,"876 MG Road, Delhi, DL, 110001",PAN6792E,2023-10-07,1858B31E1C5F,DEBIT,POS,8312.8,Amazon,Shopping
56072115380,John Sharma,1964-05-09,"935 Main St, Bangalore, KA, 560001",PAN1745B,2023-10-07,C9ED5D595833,CREDIT,NEFT,23380.27,Employer / Salary,Salary
12598902645,Michael Verma,1979-02-05,"30 MG Road, Bangalore, KA, 560001",PAN7630A,2023-10-07,88D54E73179A,CREDIT,NEFT,16104.95,Employer / Salary,Salary
81329539066,David Doe,1967-03-26,"445 Park Ave, Bangalore, KA, 560001",PAN5000A,2023-10-07,35FA37683375,DEBIT,POS,12458.09,Amazon,Shopping
